pos,score
000002,1
000003,1
000004,1
000005,1
000006,1
000011,1
000012,1
000013,1
000014,1
000015,1
000016,1
000022,-1
000023,1
000024,1
000025,1
000026,1
000033,-1
000034,1
000035,1
000036,1
000044,-1
000045,1
000046,1
000055,-1
000056,1
000066,-1
000111,-1
000112,1
000113,1
000114,1
000115,1
000116,1
000122,1
000123,-1
000124,1
000125,1
000126,1
000133,1
000134,1
000135,1
000136,1
000144,1
000145,-1
000146,1
000155,1
000156,1
000166,1
000222,1
000223,1
000224,1
000225,1
000226,1
000233,1
000234,1
000235,1
000236,1
000244,1
000245,1
000246,-1
000255,1
000256,1
000266,1
000333,1
000334,1
000335,1
000336,1
000344,1
000345,1
000346,1
000355,1
000356,-1
000366,1
000444,1
000445,1
000446,1
000455,1
000456,1
000466,1
000555,1
000556,1
000566,1
000666,1
001111,1
001112,1
001113,1
001114,1
001115,1
001116,1
001122,-1
001123,1
001124,1
001125,1
001126,1
001133,-1
001134,1
001135,1
001136,1
001144,-1
001145,1
001146,1
001155,-1
001156,1
001166,-1
001222,1
001223,1
001224,1
001225,1
001226,1
001233,1
001234,1
001235,1
001236,1
001244,1
001245,1
001246,1
001255,1
001256,-1
001266,1
001333,1
001334,1
001335,1
001336,1
001344,1
001345,1
001346,-1
001355,1
001356,1
001366,1
001444,1
001445,1
001446,1
001455,1
001456,1
001466,1
001555,1
001556,1
001566,1
001666,1
002222,-1
002223,1
002224,1
002225,1
002226,1
002233,-1
002234,1
002235,1
002236,1
002244,-1
002245,1
002246,1
002255,-1
002256,1
002266,-1
002333,1
002334,1
002335,1
002336,1
002344,1
002345,-1
002346,1
002355,1
002356,1
002366,1
002444,1
002445,1
002446,1
002455,1
002456,1
002466,1
002555,1
002556,1
002566,1
002666,1
003333,-1
003334,1
003335,1
003336,1
003344,-1
003345,1
003346,1
003355,-1
003356,1
003366,-1
003444,1
003445,1
003446,1
003455,1
003456,1
003466,1
003555,1
003556,1
003566,1
003666,1
004444,-1
004445,1
004446,1
004455,-1
004456,1
004466,-1
004555,1
004556,1
004566,1
004666,1
005555,-1
005556,1
005566,-1
005666,1
006666,-1
011111,-1
011112,1
011113,1
011114,1
011115,1
011116,1
011122,1
011123,-1
011124,1
011125,1
011126,1
011133,1
011134,1
011135,1
011136,1
011144,1
011145,-1
011146,1
011155,1
011156,1
011166,1
011222,1
011223,1
011224,1
011225,1
011226,1
011233,1
011234,1
011235,1
011236,1
011244,1
011245,1
011246,-1
011255,1
011256,1
011266,1
011333,1
011334,1
011335,1
011336,1
011344,1
011345,1
011346,1
011355,1
011356,-1
011366,1
011444,1
011445,1
011446,1
011455,1
011456,1
011466,1
011555,1
011556,1
011566,1
011666,1
012222,1
012223,-1
012224,1
012225,1
012226,1
012233,1
012234,1
012235,1
012236,1
012244,1
012245,-1
012246,1
012255,1
012256,1
012266,1
012333,-1
012334,1
012335,1
012336,1
012344,-1
012345,1
012346,1
012355,-1
012356,1
012366,-1
012444,1
012445,1
012446,1
012455,1
012456,1
012466,1
012555,1
012556,1
012566,1
012666,1
013333,1
013334,1
013335,1
013336,1
013344,1
013345,-1
013346,1
013355,1
013356,1
013366,1
013444,1
013445,1
013446,1
013455,1
013456,1
013466,1
013555,1
013556,1
013566,1
013666,1
014444,1
014445,-1
014446,1
014455,1
014456,1
014466,1
014555,-1
014556,1
014566,-1
014666,1
015555,1
015556,1
015566,1
015666,1
016666,1
022222,1
022223,1
022224,1
022225,1
022226,1
022233,1
022234,1
022235,1
022236,1
022244,1
022245,1
022246,-1
022255,1
022256,1
022266,1
022333,1
022334,1
022335,1
022336,1
022344,1
022345,1
022346,1
022355,1
022356,-1
022366,1
022444,1
022445,1
022446,1
022455,1
022456,1
022466,1
022555,1
022556,1
022566,1
022666,1
023333,1
023334,1
023335,1
023336,1
023344,1
023345,1
023346,-1
023355,1
023356,1
023366,1
023444,1
023445,1
023446,1
023455,1
023456,1
023466,1
023555,1
023556,1
023566,1
023666,1
024444,1
024445,1
024446,-1
024455,1
024456,1
024466,1
024555,1
024556,-1
024566,1
024666,-1
025555,1
025556,1
025566,1
025666,1
026666,1
033333,1
033334,1
033335,1
033336,1
033344,1
033345,1
033346,1
033355,1
033356,-1
033366,1
033444,1
033445,1
033446,1
033455,1
033456,1
033466,1
033555,1
033556,1
033566,1
033666,1
034444,1
034445,1
034446,1
034455,1
034456,-1
034466,1
034555,1
034556,1
034566,1
034666,1
035555,1
035556,-1
035566,1
035666,-1
036666,1
044444,1
044445,1
044446,1
044455,1
044456,1
044466,1
044555,1
044556,1
044566,1
044666,1
045555,1
045556,1
045566,1
045666,1
046666,1
055555,1
055556,1
055566,1
055666,1
056666,1
066666,1
111111,1
111112,1
111113,1
111114,1
111115,1
111116,1
111122,-1
111123,1
111124,1
111125,1
111126,1
111133,-1
111134,1
111135,1
111136,1
111144,-1
111145,1
111146,1
111155,-1
111156,1
111166,-1
111222,1
111223,1
111224,1
111225,1
111226,1
111233,1
111234,1
111235,1
111236,1
111244,1
111245,1
111246,1
111255,1
111256,-1
111266,1
111333,1
111334,1
111335,1
111336,1
111344,1
111345,1
111346,-1
111355,1
111356,1
111366,1
111444,1
111445,1
111446,1
111455,1
111456,1
111466,1
111555,1
111556,1
111566,1
111666,1
112222,-1
112223,1
112224,1
112225,1
112226,1
112233,-1
112234,1
112235,1
112236,1
112244,-1
112245,1
112246,1
112255,-1
112256,1
112266,-1
112333,1
112334,1
112335,1
112336,1
112344,1
112345,-1
112346,1
112355,1
112356,1
112366,1
112444,1
112445,1
112446,1
112455,1
112456,1
112466,1
112555,1
112556,1
112566,1
112666,1
113333,-1
113334,1
113335,1
113336,1
113344,-1
113345,1
113346,1
113355,-1
113356,1
113366,-1
113444,1
113445,1
113446,1
113455,1
113456,1
113466,1
113555,1
113556,1
113566,1
113666,1
114444,-1
114445,1
114446,1
114455,-1
114456,1
114466,-1
114555,1
114556,1
114566,1
114666,1
115555,-1
115556,1
115566,-1
115666,1
116666,-1
122222,1
122223,1
122224,1
122225,1
122226,1
122233,1
122234,1
122235,1
122236,1
122244,1
122245,1
122246,1
122255,1
122256,-1
122266,1
122333,1
122334,1
122335,1
122336,1
122344,1
122345,1
122346,-1
122355,1
122356,1
122366,1
122444,1
122445,1
122446,1
122455,1
122456,1
122466,1
122555,1
122556,1
122566,1
122666,1
123333,1
123334,1
123335,1
123336,1
123344,1
123345,1
123346,1
123355,1
123356,-1
123366,1
123444,1
123445,1
123446,1
123455,1
123456,1
123466,1
123555,1
123556,1
123566,1
123666,1
124444,1
124445,1
124446,1
124455,1
124456,-1
124466,1
124555,1
124556,1
124566,1
124666,1
125555,1
125556,-1
125566,1
125666,-1
126666,1
133333,1
133334,1
133335,1
133336,1
133344,1
133345,1
133346,-1
133355,1
133356,1
133366,1
133444,1
133445,1
133446,1
133455,1
133456,1
133466,1
133555,1
133556,1
133566,1
133666,1
134444,1
134445,1
134446,-1
134455,1
134456,1
134466,1
134555,1
134556,-1
134566,1
134666,-1
135555,1
135556,1
135566,1
135666,1
136666,1
144444,1
144445,1
144446,1
144455,1
144456,1
144466,1
144555,1
144556,1
144566,1
144666,1
145555,1
145556,1
145566,1
145666,1
146666,1
155555,1
155556,1
155566,1
155666,1
156666,1
166666,1
222222,-1
222223,1
222224,1
222225,1
222226,1
222233,-1
222234,1
222235,1
222236,1
222244,-1
222245,1
222246,1
222255,-1
222256,1
222266,-1
222333,1
222334,1
222335,1
222336,1
222344,1
222345,-1
222346,1
222355,1
222356,1
222366,1
222444,1
222445,1
222446,1
222455,1
222456,1
222466,1
222555,1
222556,1
222566,1
222666,1
223333,-1
223334,1
223335,1
223336,1
223344,-1
223345,1
223346,1
223355,-1
223356,1
223366,-1
223444,1
223445,1
223446,1
223455,1
223456,1
223466,1
223555,1
223556,1
223566,1
223666,1
224444,-1
224445,1
224446,1
224455,-1
224456,1
224466,-1
224555,1
224556,1
224566,1
224666,1
225555,-1
225556,1
225566,-1
225666,1
226666,-1
233333,1
233334,1
233335,1
233336,1
233344,1
233345,-1
233346,1
233355,1
233356,1
233366,1
233444,1
233445,1
233446,1
233455,1
233456,1
233466,1
233555,1
233556,1
233566,1
233666,1
234444,1
234445,-1
234446,1
234455,1
234456,1
234466,1
234555,-1
234556,1
234566,-1
234666,1
235555,1
235556,1
235566,1
235666,1
236666,1
244444,1
244445,1
244446,1
244455,1
244456,1
244466,1
244555,1
244556,1
244566,1
244666,1
245555,1
245556,1
245566,1
245666,1
246666,1
255555,1
255556,1
255566,1
255666,1
256666,1
266666,1
333333,-1
333334,1
333335,1
333336,1
333344,-1
333345,1
333346,1
333355,-1
333356,1
333366,-1
333444,1
333445,1
333446,1
333455,1
333456,1
333466,1
333555,1
333556,1
333566,1
333666,1
334444,-1
334445,1
334446,1
334455,-1
334456,1
334466,-1
334555,1
334556,1
334566,1
334666,1
335555,-1
335556,1
335566,-1
335666,1
336666,-1
344444,1
344445,1
344446,1
344455,1
344456,1
344466,1
344555,1
344556,1
344566,1
344666,1
345555,1
345556,1
345566,1
345666,1
346666,1
355555,1
355556,1
355566,1
355666,1
356666,1
366666,1
444444,-1
444445,1
444446,1
444455,-1
444456,1
444466,-1
444555,1
444556,1
444566,1
444666,1
445555,-1
445556,1
445566,-1
445666,1
446666,-1
455555,1
455556,1
455566,1
455666,1
456666,1
466666,1
555555,-1
555556,1
555566,-1
555666,1
556666,-1
566666,1
666666,-1
666666,-1
